target,source_col,split,source,layer,model,model_family,n_eval,positive_rate,accuracy,balanced_accuracy,macro_f1,roc_auc,average_precision
D_stat_nonzero,D_stat_max,random_kfold,delta,20,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7111111111111111,0.7075705096486888,0.7075,0.7949035131123207,0.8221973726908666
D_stat_nonzero,D_stat_max,random_kfold,delta,24,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.843146956952004,0.84375,0.8998020781791192,0.8519015283324658
D_stat_nonzero,D_stat_max,random_kfold,delta,24,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7555555555555555,0.7530925284512617,0.7536087605774017,0.8339930727362691,0.8352339258399009
D_stat_nonzero,D_stat_max,leave_secret_out,metadata,-1,dummy_majority,baseline,90,0.4777777777777778,0.5222222222222223,0.5,0.34306569343065696,0.5,0.4777777777777778
D_stat_nonzero,D_stat_max,leave_secret_out,metadata,-1,metadata_main_logit,main_effects,90,0.4777777777777778,0.8,0.7976249381494309,0.7984071677451469,0.830776843146957,0.8603069535737957
D_stat_nonzero,D_stat_max,leave_secret_out,metadata,-1,metadata_pairwise_logit,pairwise_interactions,90,0.4777777777777778,0.7888888888888889,0.7869866402770905,0.7876040243448019,0.8931222167243938,0.9032439418403073
D_stat_nonzero,D_stat_max,leave_secret_out,raw,0,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.7777777777777778,0.7812963879267689,0.7773379515091539,0.88421573478476,0.8931519811850137
D_stat_nonzero,D_stat_max,leave_secret_out,raw,0,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7444444444444445,0.7483918852053439,0.7436532507739938,0.8005937654626424,0.790334847018827
D_stat_nonzero,D_stat_max,leave_secret_out,raw,4,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.7777777777777778,0.7773379515091539,0.7773379515091539,0.9074715487382484,0.9104174131568907
D_stat_nonzero,D_stat_max,leave_secret_out,raw,4,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7111111111111111,0.714497773379515,0.7105393369619001,0.8015833745670461,0.729380903832639
D_stat_nonzero,D_stat_max,leave_secret_out,raw,8,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8222222222222222,0.8208807521029193,0.8214285714285714,0.9183572488866898,0.9226563533366574
D_stat_nonzero,D_stat_max,leave_secret_out,raw,8,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7222222222222222,0.7221672439386442,0.7219132369299222,0.7884710539336962,0.6925409305679853
D_stat_nonzero,D_stat_max,leave_secret_out,raw,12,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.7888888888888889,0.7879762493814944,0.7882352941176471,0.9119247897080653,0.9166369541492908
D_stat_nonzero,D_stat_max,leave_secret_out,raw,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7444444444444445,0.7434438396833251,0.7436532507739938,0.8362196932211776,0.789700016371379
D_stat_nonzero,D_stat_max,leave_secret_out,raw,16,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8111111111111111,0.8112320633349827,0.8109010011123471,0.9163780306778823,0.9152451075110383
D_stat_nonzero,D_stat_max,leave_secret_out,raw,16,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7666666666666667,0.7666996536368135,0.7664071190211346,0.8565066798614548,0.8449277644169353
D_stat_nonzero,D_stat_max,leave_secret_out,raw,20,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8111111111111111,0.8102424542305788,0.8105263157894738,0.9069767441860466,0.9114925433261307
D_stat_nonzero,D_stat_max,leave_secret_out,raw,20,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7666666666666667,0.7657100445324097,0.7659442724458204,0.8733300346363186,0.8714475959155007
D_stat_nonzero,D_stat_max,leave_secret_out,raw,24,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.7888888888888889,0.7899554675903018,0.7888628225706877,0.9010390895596241,0.9023735756442648
D_stat_nonzero,D_stat_max,leave_secret_out,raw,24,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7222222222222222,0.723156853043048,0.7221879244351155,0.8243443839683324,0.8070665547249796
D_stat_nonzero,D_stat_max,leave_secret_out,delta,0,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8333333333333334,0.830529440870856,0.8316498316498316,0.8960910440376051,0.904798924230978
D_stat_nonzero,D_stat_max,leave_secret_out,delta,0,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7555555555555555,0.7560613557644731,0.7554347826086957,0.834735279564572,0.8482770060687188
D_stat_nonzero,D_stat_max,leave_secret_out,delta,4,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8111111111111111,0.8102424542305788,0.8105263157894738,0.8970806531420089,0.9067519374719711
D_stat_nonzero,D_stat_max,leave_secret_out,delta,4,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7666666666666667,0.7647204354280059,0.765246553223202,0.8090054428500741,0.8146962367357026
D_stat_nonzero,D_stat_max,leave_secret_out,delta,8,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8111111111111111,0.8102424542305788,0.8105263157894738,0.9143988124690746,0.911604114088423
D_stat_nonzero,D_stat_max,leave_secret_out,delta,8,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7,0.693963384463137,0.6914285714285715,0.7011380504700644,0.6966330552676231
D_stat_nonzero,D_stat_max,leave_secret_out,delta,12,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8222222222222222,0.821870361207323,0.821870361207323,0.9139040079168728,0.9187369500438705
D_stat_nonzero,D_stat_max,leave_secret_out,delta,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.8222222222222222,0.8228599703117269,0.8221343873517787,0.8287976249381493,0.7914899991373207
D_stat_nonzero,D_stat_max,leave_secret_out,delta,16,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8111111111111111,0.8102424542305788,0.8105263157894738,0.9025235032162295,0.8951819370638894
D_stat_nonzero,D_stat_max,leave_secret_out,delta,16,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7222222222222222,0.7162295893122217,0.7142857142857142,0.7793171697179614,0.7986298584309335
D_stat_nonzero,D_stat_max,leave_secret_out,delta,20,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.8441365660564077,0.8441365660564077,0.9134092033646709,0.9176445243198162
D_stat_nonzero,D_stat_max,leave_secret_out,delta,20,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7777777777777778,0.7773379515091539,0.7773379515091539,0.8139534883720929,0.8198685757515147
D_stat_nonzero,D_stat_max,leave_secret_out,delta,24,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.8441365660564077,0.8441365660564077,0.904997525977239,0.9086769214790191
D_stat_nonzero,D_stat_max,leave_secret_out,delta,24,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.8111111111111111,0.8082632360217714,0.8092031425364759,0.8396833250865908,0.8351761617202683
